genus,adj.p,p.value,statistic.t,parameter.df,conf.int1,conf.int2,estimate.mean in group neg,estimate.mean in group pos
Streptococcus salivarius,0.09050000000000001,0.0181,2.7875,10.6671,1.1794,10.1946,9.8378,4.1508
Streptococcus pneumoniae,1,0.5543,0.6322,5.1476,-4.3135,7.1597,11.4947,10.0716
Streptococcus himalayensis,1,0.9825,-0.0224,9.7497,-3.9739,3.8949,8.4501,8.4895
Streptococcus gordonii,1,0.782,0.2866,7.6223,-2.5869,3.3141,5.7474,5.3838
Streptococcus mitis,1,0.4705,0.7446,12.2443,-0.9139,1.8661,4.5691,4.093
