genus,adj.p,p.value,statistic.t,parameter.df,conf.int1,conf.int2,estimate.mean in group neg,estimate.mean in group pos
Streptococcus salivarius,0.07,0.014,3.2529,7,1.9683,12.4472,10.8686,3.6608
Streptococcus gordonii,0.11249999999999999,0.0225,2.803,8.1972,0.6163,6.2032,7.4196,4.0099
Streptococcus pneumoniae,0.27699999999999997,0.0554,2.3053,6.8387,-0.1942,12.8727,13.4769,7.1377
Streptococcus himalayensis,0.3345,0.0669,2.1124,8.1729,-0.3582,8.5349,10.5338,6.4455
Streptococcus mitis,0.7035,0.1407,1.5876,10.9999,-0.8408,5.1931,6.6623,4.4862
