genus,adj.p,p.value,statistic.t,parameter.df,conf.int1,conf.int2,estimate.mean in group neg,estimate.mean in group pos
Streptococcus salivarius,0.001,2e-4,4.4011,21.7124,2.7713,7.7177,9.1601,3.9156
Streptococcus gordonii,0.0045,9e-4,4.747,9.6071,2.6683,7.4387,9.6351,4.5816
Streptococcus mitis,0.008499999999999999,0.0017,4.3116,9.4986,2.1623,6.8568,8.9987,4.4891
Streptococcus pneumoniae,0.09050000000000001,0.0181,3.2619,5.7827,1.8665,13.4974,15.8205,8.1386
Streptococcus himalayensis,0.269,0.0538,2.3829,6.1112,-0.1035,9.36,11.9498,7.3216
